Characteristic,Parkinson’s disease (N=200),Atypical parkinsonism (N=98),Control (N=258)
"Age (years), mean(SD)",72.6 (10.3),77.9 (7.3),75.3 (9.2)
"Male, n (%)",123 (61.5%),64 (65.3%),159 (61.6%)
"Female, n (%)",77 (38.5%),34 (34.7%),99 (38.4%)
"Smoking history in pack-years, median (IQR)","0.0 (0.0,15.2)","2.8 (0.0,33.8)","4.1 (0.0,28.7)"
"Living alone, n (%)",50 (25.0%),35 (35.7%),86 (33.3%)
"Institutionalisation, n (%)",70 (35%),53 (54.1%),43 (16.7%)
"Death, n (%)",163 (81.5%),98 (100%),140 (54.3%)
"Lost to follow-up, n (%)",3 (1.5%),0 (0%),3 (1.2%)
